"id","car_model_id","car_generation_id","name","created_at","updated_at"
"1909","1430",NULL,"Cascada",NULL,NULL
"1918","1436",NULL,"GT",NULL,NULL
"1931","1441",NULL,"Mokka",NULL,NULL
"1934","1443",NULL,"Monza",NULL,NULL
"1940","1447",NULL,"Signum",NULL,NULL
"1941","1448",NULL,"Sintra",NULL,NULL
"1942","1449",NULL,"Speedster",NULL,NULL
"1950","1454",NULL,"2500 GT",NULL,NULL
"1951","1455",NULL,"Huayra",NULL,NULL
"1957","1458",NULL,"Roadster",NULL,NULL
"1958","1459",NULL,"Alza",NULL,NULL
"1959","1460",NULL,"Kancil",NULL,NULL
"1960","1461",NULL,"Kelisa",NULL,NULL
"1961","1462",NULL,"Kembara",NULL,NULL
"1962","1463",NULL,"Kenari",NULL,NULL
"1963","1464",NULL,"MyVi",NULL,NULL
"1964","1465",NULL,"Nautica",NULL,NULL
"1992","1478",NULL,"301",NULL,NULL
"2011","1485",NULL,"4007",NULL,NULL
"2012","1486",NULL,"4008",NULL,NULL
"2021","1490",NULL,"408",NULL,NULL
"2022","1491",NULL,"5008",NULL,NULL
"2032","1495",NULL,"604",NULL,NULL
"2033","1496",NULL,"605",NULL,NULL
"2034","1497",NULL,"607",NULL,NULL
"2035","1498",NULL,"806",NULL,NULL
"2036","1499",NULL,"807",NULL,NULL
"2040","1503",NULL,"Porter",NULL,NULL
"2041","1504",NULL,"Acclaim",NULL,NULL
"2042","1505",NULL,"Breeze",NULL,NULL
"2045","1507",NULL,"Laser",NULL,NULL
"2056","1514",NULL,"Aztec",NULL,NULL
"2058","1516",NULL,"Fiero",NULL,NULL
"2068","1521",NULL,"G8",NULL,NULL
"2072","1524",NULL,"GTO",NULL,NULL
"2076","1527",NULL,"Parisienne",NULL,NULL
"2085","1532",NULL,"Tempest",NULL,NULL
"2086","1533",NULL,"Torrent",NULL,NULL
"2092","1537",NULL,"914",NULL,NULL
"2093","1538",NULL,"918",NULL,NULL
"2094","1539",NULL,"924",NULL,NULL
"2095","1540",NULL,"928",NULL,NULL
"2098","1542",NULL,"959",NULL,NULL
"2102","1545",NULL,"Carrera GT",NULL,NULL
"2105","1548",NULL,"Macan",NULL,NULL
"2107","1550",NULL,"118NE",NULL,NULL
"2109","1552",NULL,"Exora",NULL,NULL
"2110","1553",NULL,"Gen-2",NULL,NULL
"2111","1554",NULL,"Inspira",NULL,NULL
"2112","1555",NULL,"Juara",NULL,NULL
"2113","1556",NULL,"Perdana",NULL,NULL
"2114","1557",NULL,"Persona",NULL,NULL
"2115","1558",NULL,"Preve",NULL,NULL
"2126","1565",NULL,"GTB",NULL,NULL
"2127","1566",NULL,"GTE",NULL,NULL
"2130","1568",NULL,"Mangusta",NULL,NULL
"2136","1572",NULL,"14",NULL,NULL
"2137","1573",NULL,"15",NULL,NULL
"2138","1574",NULL,"16",NULL,NULL
"2139","1575",NULL,"17",NULL,NULL
"2143","1578",NULL,"20",NULL,NULL
"2147","1580",NULL,"25",NULL,NULL
"2148","1581",NULL,"30",NULL,NULL
"2154","1584",NULL,"6",NULL,NULL
"2155","1585",NULL,"9",NULL,NULL
"2156","1586",NULL,"Avantime",NULL,NULL
"2164","1593",NULL,"Fuego",NULL,NULL
"2181","1605",NULL,"Sport Spider",NULL,NULL
"2184","1608",NULL,"Twizy",NULL,NULL
"2185","1609",NULL,"Vel Satis",NULL,NULL
"2186","1610",NULL,"Wind",NULL,NULL
"2187","1611",NULL,"ZOE",NULL,NULL
"2190","1614",NULL,"SM7",NULL,NULL
"2191","1615",NULL,"Corniche",NULL,NULL
"2192","1616",NULL,"Ghost",NULL,NULL
"2193","1617",NULL,"Park Ward",NULL,NULL
"2200","1622",NULL,"Lightning",NULL,NULL
"2212","1628",NULL,"600",NULL,NULL
"2223","1633",NULL,"P6",NULL,NULL
"2224","1634",NULL,"SD1",NULL,NULL
"2225","1635",NULL,"9-2X",NULL,NULL
"2229","1637",NULL,"9-4X",NULL,NULL
"2232","1639",NULL,"9-7X",NULL,NULL
"2233","1640",NULL,"90",NULL,NULL
"2239","1643",NULL,"95",NULL,NULL
"2240","1644",NULL,"96",NULL,NULL
"2243","1646",NULL,"S7",NULL,NULL
"2249","1649",NULL,"Aura",NULL,NULL
"2254","1653",NULL,"Outlook",NULL,NULL
"2255","1654",NULL,"Relay",NULL,NULL
"2257","1656",NULL,"Sky",NULL,NULL
"2261","1660",NULL,"FR-S",NULL,NULL
"2262","1661",NULL,"iQ",NULL,NULL
"2264","1663",NULL,"xA",NULL,NULL
"2266","1665",NULL,"xD",NULL,NULL
"2267","1666",NULL,"133",NULL,NULL
"2271","1669",NULL,"Arosa",NULL,NULL
"2283","1675",NULL,"Malaga",NULL,NULL
"2284","1676",NULL,"Marbella",NULL,NULL
"2285","1677",NULL,"Ronda",NULL,NULL
"2287","1679",NULL,"Noble",NULL,NULL
"2288","1680",NULL,"Sceo",NULL,NULL
"2303","1688",NULL,"Roomster",NULL,NULL
"2310","1693",NULL,"Roadster",NULL,NULL
"2311","1694",NULL,"Lioncel",NULL,NULL
"2312","1695",NULL,"R42",NULL,NULL
"2321","1702",NULL,"Kallista",NULL,NULL
"2322","1703",NULL,"Korando Family",NULL,NULL
"2330","1709",NULL,"Stavic",NULL,NULL
"2331","1710",NULL,"Alcyone",NULL,NULL
"2332","1711",NULL,"Baja",NULL,NULL
"2333","1712",NULL,"BRZ",NULL,NULL
"2334","1713",NULL,"Dex",NULL,NULL
"2336","1715",NULL,"Exiga",NULL,NULL
"2345","1721",NULL,"Libero",NULL,NULL
"2346","1722",NULL,"Lucra",NULL,NULL
"2350","1725",NULL,"R1",NULL,NULL
"2351","1726",NULL,"R2",NULL,NULL
"2352","1727",NULL,"Sambar",NULL,NULL
"2353","1728",NULL,"Stella",NULL,NULL
"2354","1729",NULL,"SVX",NULL,NULL
"2355","1730",NULL,"Traviq",NULL,NULL
"2356","1731",NULL,"Trezia",NULL,NULL
"2379","1748",NULL,"Kei",NULL,NULL
"2380","1749",NULL,"Kizashi",NULL,NULL
"2385","1753",NULL,"Palette",NULL,NULL
"2388","1756",NULL,"Spacia",NULL,NULL
"2389","1757",NULL,"Splash",NULL,NULL
"2393","1760",NULL,"Verona",NULL,NULL
"2396","1763",NULL,"X-90",NULL,NULL
"2397","1764",NULL,"XL7",NULL,NULL
"2398","1765",NULL,"1510",NULL,NULL
"2401","1767",NULL,"Horizon",NULL,NULL
"2404","1769",NULL,"Solara",NULL,NULL
"2405","1770",NULL,"Tagora",NULL,NULL
"2406","1771",NULL,"Aria",NULL,NULL
"2410","1775",NULL,"Nano",NULL,NULL
"2412","1777",NULL,"Sierra",NULL,NULL
"2413","1778",NULL,"Sumo",NULL,NULL
"2419","1781",NULL,"Zero",NULL,NULL
"2420","1782",NULL,"Model S",NULL,NULL
"2423","1785",NULL,"Admiral",NULL,NULL
"2424","1786",NULL,"Dogan",NULL,NULL
"2426","1788",NULL,"Murat 131",NULL,NULL
"2427","1789",NULL,"Sahin",NULL,NULL
"2436","1797",NULL,"Aurion",NULL,NULL
"2442","1801",NULL,"Avensis Verso",NULL,NULL
"2446","1804",NULL,"Belta",NULL,NULL
"2447","1805",NULL,"Blade",NULL,NULL
