"id","car_brand_id","name","created_at","updated_at"
"414","42","Tacuma",NULL,NULL
"415","42","Tico",NULL,NULL
"416","42","Tosca",NULL,NULL
"417","42","Winstorm",NULL,NULL
"418","43","46",NULL,NULL
"419","43","66",NULL,NULL
"420","44","Altis",NULL,NULL
"421","44","Applause",NULL,NULL
"422","44","Atrai",NULL,NULL
"423","44","Be-go",NULL,NULL
"424","44","Boon",NULL,NULL
"425","44","Ceria",NULL,NULL
"426","44","Charade",NULL,NULL
"427","44","Charmant",NULL,NULL
"428","44","Coo",NULL,NULL
"429","44","Copen",NULL,NULL
"430","44","Cuore",NULL,NULL
"431","44","Delta Wagon",NULL,NULL
"432","44","Esse",NULL,NULL
"433","44","Feroza",NULL,NULL
"434","44","Gran Move",NULL,NULL
"435","44","Leeza",NULL,NULL
"436","44","Materia",NULL,NULL
"437","44","MAX",NULL,NULL
"438","44","Mira Gino",NULL,NULL
"439","44","Mira",NULL,NULL
"440","44","Move",NULL,NULL
"441","44","Naked",NULL,NULL
"442","44","Opti",NULL,NULL
"443","44","Pyzar",NULL,NULL
"444","44","Rocky",NULL,NULL
"445","44","Sirion",NULL,NULL
"446","44","Sonica",NULL,NULL
"447","44","Storia",NULL,NULL
"448","44","Taft",NULL,NULL
"449","44","Tanto",NULL,NULL
"450","44","Terios",NULL,NULL
"451","44","Trevis",NULL,NULL
"452","44","Wildcat",NULL,NULL
"453","44","Xenia",NULL,NULL
"454","44","YRV",NULL,NULL
"455","45","DS420",NULL,NULL
"456","45","Sovereign (XJ6)",NULL,NULL
"457","45","X300",NULL,NULL
"458","45","X308",NULL,NULL
"459","45","X350",NULL,NULL
"460","45","XJ40",NULL,NULL
"461","45","XJS",NULL,NULL
"462","46","Jeep",NULL,NULL
"463","47","280ZX",NULL,NULL
"464","47","720",NULL,NULL
"465","47","Bluebird",NULL,NULL
"466","47","Cherry",NULL,NULL
"467","47","GO",NULL,NULL
"468","47","GO+",NULL,NULL
"469","47","on-DO",NULL,NULL
"470","47","Stanza",NULL,NULL
"471","47","Sunny",NULL,NULL
"472","47","Violet",NULL,NULL
"473","48","Bigua",NULL,NULL
"474","48","Guara",NULL,NULL
"475","48","Mangusta",NULL,NULL
"476","48","Pantera",NULL,NULL
"477","48","Vallelunga",NULL,NULL
"478","49","DMC-12",NULL,NULL
"479","50","Antelope",NULL,NULL
"480","50","Aurora",NULL,NULL
"481","50","Cowboy",NULL,NULL
"482","50","Land Crown",NULL,NULL
"483","50","Plutus",NULL,NULL
"484","50","Saladin",NULL,NULL
"485","50","Shuttle",NULL,NULL
"486","51","600",NULL,NULL
"487","51","Aries",NULL,NULL
"488","51","Avenger",NULL,NULL
"489","51","Caliber",NULL,NULL
"490","51","Caravan",NULL,NULL
"491","51","Challenger",NULL,NULL
"492","51","Charger",NULL,NULL
"493","51","Dakota",NULL,NULL
"494","51","Dart",NULL,NULL
"495","51","Daytona",NULL,NULL
"496","51","Durango",NULL,NULL
"497","51","Dynasty",NULL,NULL
"498","51","Grand Caravan",NULL,NULL
"499","51","Intrepid",NULL,NULL
"500","51","Journey",NULL,NULL
"501","51","Magnum",NULL,NULL
"502","51","Monaco",NULL,NULL
"503","51","Neon",NULL,NULL
"504","51","Nitro",NULL,NULL
"505","51","Omni",NULL,NULL
"506","51","RAM",NULL,NULL
"507","51","Ramcharger",NULL,NULL
"508","51","Shadow",NULL,NULL
"509","51","Spirit",NULL,NULL
"510","51","Stealth",NULL,NULL
"511","51","Stratus",NULL,NULL
"512","51","Viper",NULL,NULL
"513","52","H30 Cross",NULL,NULL
"514","52","MPV",NULL,NULL
"515","52","Oting",NULL,NULL
"516","52","Rich",NULL,NULL
"517","53","Assol",NULL,NULL
"518","53","Kondor",NULL,NULL
"519","53","Orion",NULL,NULL
"520","54","D8",NULL,NULL
"521","55","GD04B",NULL,NULL
"522","56","Premier",NULL,NULL
"523","56","Summit",NULL,NULL
"524","56","Talon",NULL,NULL
"525","56","Vision",NULL,NULL
"526","57","SS",NULL,NULL
"527","58","Estrima Biro",NULL,NULL
"528","59","A6",NULL,NULL
"529","59","Audi 100",NULL,NULL
"530","59","Besturn B50",NULL,NULL
"531","59","Besturn B70",NULL,NULL
"532","59","Bora",NULL,NULL
"533","59","City Golf",NULL,NULL
"534","59","Jetta",NULL,NULL
